,0,1,accuracy,macro avg,weighted avg
precision,0.9532927183057731,0.8604085603112841,0.918589860076322,0.9068506393085286,0.9207165916604226
recall,0.9196753428491464,0.916580310880829,0.918589860076322,0.9181278268649877,0.918589860076322
f1-score,0.9361823361823362,0.8876066231811339,0.918589860076322,0.911894479681735,0.9191459694564921
support,3573.0,1930.0,0.918589860076322,5503.0,5503.0
